"id","timestamp","raw_message","category","priority","new","reminder_at","completed","completed_at","archived","brief_file"
"69","2026-03-30T17:23:28.060Z","Remove toilet paper from list","misc","low","false","","true","2026-03-30T17:23:28.071Z","true",""
"70","2026-03-30T17:23:28.121Z","Remove toilet paper from list","misc","low","false","","true","2026-03-30T17:23:28.071Z","true",""
"71","2026-03-30T17:35:43.233Z","Yes agenda is sorted","misc","low","false","","true","2026-03-30T17:35:43.238Z","true",""
"72","2026-03-30T18:54:27.359Z","Lenin quote where he ends with ""I agree to everything in advance. See you at congress""","india-rci","medium","false","","false","","false","briefs/72.json"
"73","2026-03-30T19:15:34.885Z","Send the amendments","india-rci","medium","false","2026-04-14T09:35:00","false","","false",""
"74","2026-03-30T19:23:26.348Z","District paper sale Sunday 12th 1pm","errands","medium","false","2026-04-12T10:00:00","false","","false",""
"75","2026-03-30T19:32:30.824Z","Read: Spain closes airspace to US aircraft involved in Iran war (BBC)","india-rci","medium","false","","false","","false",""
"76","2026-03-30T22:09:18.636Z","Put the Aldi basket in the car","errands","low","false","2026-04-02T17:20:00","false","","false",""
"77","2026-03-30T23:49:34.993Z","How many Claude processes are running?","misc","low","false","","true","2026-03-31T00:49:00","false",""
"78","2026-03-30T23:50:22.893Z","Why 11?","misc","low","false","","false","","true",""
"79","2026-03-31T07:28:59.282Z","What do I need to do this morning","misc","low","false","","true","2026-03-31T07:28:59.285Z","false",""
"80","2026-03-31T08:26:25.736Z","Move aldi basket and clear car to tomorrow 5:20","misc","low","false","","true","2026-03-31T08:26:25.738Z","false",""
"81","2026-03-31T10:17:11.140Z","remove the epub stuff from todo","misc","low","false","","true","2026-03-31T10:17:11.144Z","false",""
"82","2026-03-31T12:35:35.723Z","Book GP appointment — nocturnal heart racing, get ECG","misc","high","false","2026-04-06T09:00:00Z","false","","false","briefs/82.json"
"83","2026-03-31T16:22:28.173Z","got milk and squash. Delete those. I'll do to aldi maybe Thursday evening after payday. I need:

Bleach
Cheese
Potatoes
Oats
Yoghurt
More milk by then
Pasta
Red pepper
Meals for work
Baked beans
Ready meals of some form
Maybe some ice creams","misc","low","false","","true","2026-03-31T16:22:28.175Z","false",""
"84","2026-03-31T16:23:22.134Z","Get toilet paper, mould killer, toothbrush from Poundland — peach Red Bull if they have it","errands","low","false","2026-04-02T17:20:00","false","","false",""
"85","2026-03-31T16:22:28.175Z","Aldi shop — bleach, cheese, potatoes, oats, yoghurt, milk, pasta, red pepper, work meals, baked beans, ready meals","errands","medium","false","2026-04-02T17:10:00","false","","false",""
"86","2026-04-01T10:47:02.621Z","Guz Khan TikTok — https://vm.tiktok.com/ZNRCx3haJ/","misc","low","false","","false","","true",""
"87","2026-04-01T10:48:02.610Z","Is this a butt text","misc","low","false","","true","2026-04-01T10:48:02.610Z","true",""
"88","2026-04-01T11:01:20.627Z","You sent me this message but I didn't send you anything: Ha — not a butt text then. Guz Khan TikTok, saved.","misc","low","false","","false","","true",""
"89","2026-04-01T11:05:10.030Z","it like man like mobeen","misc","low","false","","false","","true",""
"90","2026-04-01T11:05:16.809Z","It good","misc","low","false","","false","","true",""
"91","2026-04-01T11:05:34.877Z","Why ru reacting with timer","misc","low","false","","false","","true",""
"92","2026-04-01T11:05:47.858Z","20m first episode","misc","low","false","","false","","true",""
"93","2026-04-01T11:05:53.809Z","It good","misc","low","false","","false","","true",""
"94","2026-04-01T11:06:40.693Z","Ai to reply is crazy","misc","low","false","","false","","true",""
"95","2026-04-01T11:05:10.030Z","Watch Bait on Prime Video","misc","low","false","","false","","false",""
"96","2026-04-01T15:46:41.561Z","Check out Business English Handbook (Italian epub) — IBS","books","low","false","","false","","false",""
"97","2026-04-01T17:22:21.011Z","Happy belated Trans Disability Day :)","misc","low","false","","false","","true",""
"98","2026-04-01T17:23:32.557Z","I forgot yesterday I'm sorry 💀","misc","low","false","","false","","true",""
"99","2026-04-01T21:18:25.142Z","Watch Facebook video — https://www.facebook.com/share/v/18Yu1J3bxX/","misc","low","false","","false","","false",""
"100","2026-04-03T00:31:35.526Z","What is your most up to date information about my state","misc","high","false","","false","","false",""
"101","2026-04-03T00:32:02.512Z","How many steps did I do yesterday","misc","high","false","","false","","false",""
"102","2026-04-03T00:33:21.961Z","I'm testing an update to your system, I'm off tomorrow. Do you know why?","misc","normal","false","","false","","false",""
"103","2026-04-03T00:33:53.076Z","No, I'm off today! And I think the GP thing can wait. I've got a cold, I need to rest","","","false","","false","","false",""
"104","2026-04-03T00:34:33.236Z","I need to get my 3d printer working again. And reply to Alex and harvey","misc","low","false","","false","","false",""
"105","2026-04-03T00:35:26.783Z","I will sleep soon, dont nag me about stuff like that over and over, have you logged those items?","","","false","","false","","false",""
"106","2026-04-03T00:38:28.297Z","The front-end looks very cluttered with crap","creative","normal","false","","false","","false",""
"107","2026-04-03T00:39:03.034Z","Can you tidy up the items","misc","low","false","","false","","false",""
"108","2026-04-03T00:39:46.738Z","There's lots of blank items, and messages erroneously turned into items","misc","normal","false","","false","","false",""
"109","2026-04-03T00:40:34.926Z","No, don't do that. You do what I say. Note that in profile.md and then go clean up the to-do list","misc","high","false","","false","","false",""
"110","2026-04-03T00:41:54.247Z","What did you tidy","misc","low","false","","false","","false",""
"111","2026-04-03T00:42:34.311Z","Log in profile MD to avoid repeating the same instruction to me sequentially","misc","normal","false","","false","","false",""
"112","2026-04-03T00:43:24.755Z","Log and return confirmation of you logging that I said:

Log in profile MD to avoid repeating the same instruction to me sequentially, such as telling me to go to sleep","misc","high","false","","false","","false",""
"113","2026-04-03T00:44:04.566Z","See, you lied to me. Why","misc","low","false","","false","","false",""
"114","2026-04-03T00:45:15.221Z","You didn't update the profile.md yet","misc","low","false","","false","","false",""
"115","2026-04-03T00:45:24.752Z","Log and return confirmation of you logging that I said:

Log in profile MD to avoid repeating the same instruction to me sequentially, such as telling me to go to sleep","misc","low","false","","false","","false",""
"116","2026-04-03T07:45:12.081Z","What's the tea sis","misc","low","false","","false","","false",""
"117","2026-04-03T07:46:04.662Z","Also what's the weather like today","misc","low","false","","false","","false",""
"118","2026-04-03T08:40:11.653Z","What's the weather today","misc","low","false","","false","","false",""
"119","2026-04-03T08:43:22.815Z","Jatin call moved to Sunday 1pm this week","india-rci","high","false","","false","","false",""
"120","2026-04-03T08:43:22.815Z","Read HRR Vol 2 ch 24-26 — prep for Jatin call Sunday","india-rci","high","false","2026-04-04T10:00:00","false","","false",""
"121","2026-04-03T08:49:19.735Z","Add Jatin call to calendar (Sunday 5 Apr 1pm)","india-rci","medium","false","","true","2026-04-03T08:49:20.295Z","false",""
"122","2026-04-03T09:01:32.197Z",".","misc","low","false","","false","","false",""
"123","2026-04-03T09:02:05.758Z","Do you have access to my GPS location","misc","low","false","","false","","false",""
"124","2026-04-03T09:27:02.808Z",".","misc","low","false","","false","","false",""
"125","2026-04-03T09:27:03.507Z","Do you have access to my GPS location","misc","low","false","","false","","false",""
"126","2026-04-03T09:51:39.252Z","Can you tell me what happens when you try to get my Google fit data","misc","low","false","","false","","false",""
"127","2026-04-03T13:14:57.858Z","Confirm you're haiku?","misc","low","false","","false","","false",""
"128","2026-04-03T13:40:43.673Z","Can you use groq for tts?","misc","low","false","","false","","false","briefs/128.json"
"129","2026-04-03T13:49:12.106Z","Almost perfect. You didn't set the colour! Does your script allow this","misc","low","false","","true","2026-04-03T13:50:20.946Z","false",""
"130","2026-04-03T13:54:53.317Z","No, unfortunately it didn't. What did you edit","misc","low","false","","false","","false",""
"131","2026-04-03T13:57:04.759Z","Hey, can you add support to parse locations from me?","misc","low","false","","false","","false",""
"132","2026-04-03T13:57:13.875Z","In the above format","misc","low","false","","false","","false",""
"133","2026-04-03T14:05:21.411Z","What time is it","misc","low","false","","false","","false",""
"134","2026-04-03T14:14:06.510Z","and the preservation of culture.","misc","low","false","","false","","false",""
"135","2026-04-03T14:15:05.282Z","Can you reply back with the weather forecast for tomorrow?","misc","low","false","","false","","false","briefs/135.json"
"136","2026-04-03T14:20:18.239Z","What do the last messages look like","misc","low","false","","false","","false",""
"137","2026-04-03T14:20:32.492Z","Hey, here's a test. Can you reply in a voice note and... I dunno, give me a random quote from Karl Marx.","misc","low","false","","false","","false",""
"138","2026-04-03T14:29:59.241Z","Hey, here is one test voice note.","misc","low","false","","false","","false",""
"139","2026-04-03T14:30:13.783Z","And here is a second","misc","low","false","","false","","false",""
"140","2026-04-03T14:34:19.749Z","Maybe log that in profile.md so you know you can do that. Also hello.","misc","low","false","","false","","false",""
"141","2026-04-03T14:36:14.454Z","Nice work. So now you should have the ability to use speech to text, text to speech, my calendar, my Google Fit. Google Fit should give you my location as well. You should see my to do list as well. So you should have everything you need alongside the time and the weather as well. Is that all correct? Is that all working?","misc","low","false","","false","","false",""
"142","2026-04-03T14:41:07.091Z","Nice work. So now you should have the ability to use speech to text, text to speech, my calendar, my Google Fit. Google Fit should give you my location as well. You should see my to do list as well. So you should have everything you need alongside the time and the weather as well. Is that all correct? Is that all working?","misc","low","false","","false","","false",""
"143","2026-04-03T14:55:02.701Z","Move home GPS coords to .env (not profile.md)","misc","low","false","","true","2026-04-03T14:55:02.701Z","false",""
"144","2026-04-03T14:57:44.016Z","That's work. In env only","misc","low","false","","false","","false",""
"145","2026-04-03T14:58:46.448Z","Then tell me how long the drive to work is right now","misc","low","false","","false","","false",""
"146","2026-04-03T15:36:36.937Z","Update .env with work address","misc","low","false","","false","","false",""
"147","2026-04-03T17:03:51.458Z","How's it going","misc","low","false","","false","","false",""
"148","2026-04-03T18:47:09.975Z","Can Stream handle calls?","misc","low","false","","true","2026-04-03T18:52:48.000Z","false",""
"149","2026-04-03T19:13:29.754Z","Did tier 3 run cleanup recently","misc","low","false","","true","2026-04-03T19:13:29.974Z","false",""
